City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nikolskoye,59.7035,30.7861,30.09,96,100,6.38,RU,1675304343
1,sidi ali,36.0998,0.4206,45.07,72,0,5.91,DZ,1675304343
2,busselton,-33.65,115.3333,72.3,42,96,15.84,AU,1675304343
3,constitucion,-35.3333,-72.4167,59.95,70,0,13.2,CL,1675304211
4,cidreira,-30.1811,-50.2056,75.22,90,1,6.8,BR,1675304344
5,vao,-22.6667,167.4833,80.04,77,23,6.44,NC,1675304108
6,vaini,-21.2,-175.2,86.16,70,75,14.97,TO,1675304344
7,barrow,71.2906,-156.7887,-7.58,77,0,20.71,US,1675304345
8,kristiansund,63.1115,7.732,34.45,93,100,3.44,NO,1675304345
9,cape town,-33.9258,18.4232,65.1,71,20,14.97,ZA,1675304345
10,castro,-24.7911,-50.0119,63.23,95,57,2.39,BR,1675304345
11,ushuaia,-54.8,-68.3,55.06,67,40,10.36,AR,1675304182
12,punta arenas,-53.15,-70.9167,57.31,58,75,13.8,CL,1675304218
13,mikhaylovka,50.06,43.2379,31.78,86,100,5.79,RU,1675304346
14,vung tau,10.346,107.0843,79.74,75,95,11.48,VN,1675304346
15,mataura,-46.1927,168.8643,75.47,66,100,4.09,NZ,1675304347
16,rikitea,-23.1203,-134.9692,79.7,75,6,12.88,PF,1675304347
17,bredasdorp,-34.5322,20.0403,63.54,80,14,3.51,ZA,1675304347
18,thompson,55.7435,-97.8558,-21.84,69,20,16.11,CA,1675304348
19,mar del plata,-38.0023,-57.5575,71.1,80,0,8.05,AR,1675304348
20,grafton,42.207,-71.6856,25.16,61,0,9.22,US,1675304158
21,yellowknife,62.456,-114.3525,-31.45,75,0,2.3,CA,1675304348
22,albany,42.6001,-73.9662,20.59,65,11,6.26,US,1675304124
23,naron,43.5167,-8.1528,44.67,79,0,10.29,ES,1675304349
24,tiksi,71.6872,128.8694,-16.65,99,100,8.23,RU,1675304349
25,paragominas,-2.9667,-47.4833,71.19,100,100,1.12,BR,1675304099
26,nanortalik,60.1432,-45.2371,19.92,79,99,9.95,GL,1675304349
